match_id,blue_win,blue_champ_1,blue_champ_2,blue_champ_3,blue_champ_4,blue_champ_5,red_champ_1,red_champ_2,red_champ_3,red_champ_4,red_champ_5
EUW1_7617526371,1,19,60,45,115,22,82,517,246,21,800
EUW1_7617464949,0,904,91,39,51,161,24,105,246,222,37
EUW1_7617397121,0,777,234,101,51,53,122,904,55,21,99
EUW1_7617337213,1,14,234,55,157,518,58,28,711,21,16
EUW1_7616602669,0,266,60,101,22,63,19,234,105,90,11
EUW1_7616558015,1,887,904,246,360,78,122,19,134,901,147
EUW1_7615474876,1,82,32,90,81,711,19,35,910,21,57
EUW1_7613994023,0,904,234,3,21,63,79,105,157,67,89
EUW1_7613955359,1,14,904,126,18,133,83,131,245,21,63
EUW1_7613899418,0,24,104,910,22,201,122,80,800,21,35
EUW1_7613847165,1,126,19,910,51,518,86,107,81,360,412
EUW1_7613836503,0,6,266,34,498,497,17,904,112,202,117
EUW1_7661292044,1,904,54,39,145,101,36,141,157,18,201
EUW1_7661247950,0,36,234,103,202,267,83,143,142,51,16
EUW1_7657537675,0,875,78,105,67,350,39,32,85,81,63
EUW1_7657499806,1,122,131,157,498,497,897,203,136,360,143
EUW1_7656465395,0,2,19,69,498,26,41,48,103,29,111
EUW1_7654155401,0,6,154,711,236,201,106,245,777,145,267
EUW1_7654082801,0,83,5,893,21,44,14,121,1,202,267
EUW1_7653944956,0,24,121,103,51,63,86,33,39,236,16
EUW1_7653905828,1,67,107,105,804,223,875,24,245,18,89
EUW1_7653868845,0,83,876,517,51,53,420,234,84,119,25
EUW1_7652837260,1,54,75,103,18,63,875,245,39,21,25
EUW1_7652769471,1,19,36,45,145,555,10,141,38,236,78
EUW1_7652617044,0,80,106,711,901,350,54,107,131,67,111
EUW1_7652562131,1,19,11,7,360,89,82,28,127,804,267
EUW1_7652502708,1,14,233,105,145,98,6,60,238,67,81
EUW1_7652440829,1,82,56,99,21,89,122,54,711,157,85
EUW1_7652376079,0,83,107,910,21,25,36,11,112,901,43
EUW1_7650919738,1,164,78,10,67,902,24,64,20,81,223
EUW1_7650890532,1,19,234,90,895,16,875,64,517,21,80
EUW1_7650310646,1,82,28,157,895,555,122,24,131,145,888
EUW1_7552786783,1,86,121,131,51,412,887,245,8,18,99
EUW1_7552728903,1,122,102,142,145,99,74,131,101,29,16
EUW1_7552680214,0,126,113,134,222,111,79,104,40,202,99
EUW1_7551122856,0,8,111,91,523,412,54,246,134,51,267
EUW1_7487992566,1,114,234,166,15,37,86,30,4,202,518
EUW1_7483583651,1,17,106,238,145,37,31,113,4,67,99
EUW1_7483538935,0,150,59,13,96,267,6,106,45,804,412
EUW1_7483495983,1,875,113,800,222,111,114,11,893,804,40
EUW1_7483448691,1,41,56,157,29,117,2,141,777,67,37
